#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%,Win Shares
1,LeBron James,"1,209",38.6,27.1,9.9,19.6,50.4,1.4,4.2,34.3,5.9,8.1,73.6,1.2,6.2,7.4,7.3,1.6,0.8,3.5,54.1,58.6,228.9
2,Kevin Durant,849,36.9,27,9.2,18.7,49.3,1.8,4.9,38.1,6.8,7.7,88.3,0.7,6.3,7.1,4.1,1.1,1.1,3.1,54.2,61.3,141.7
3,James Harden,776,34.2,24.5,7.2,16.3,44.2,2.7,7.4,36.4,7.4,8.6,85.8,0.8,4.5,5.2,6.2,1.6,0.5,3.7,52.4,60.9,124.3
4,Anthony Davis,476,34.6,23.8,8.9,17.3,51.6,0.4,1.3,31.3,5.5,7,79.7,2.6,7.9,10.5,2.1,1.4,2.4,1.9,52.8,58.5,73.9
5,Damian Lillard,561,36.3,23.7,7.8,18,43.5,2.8,7.5,36.9,5.2,5.9,89,0.6,3.6,4.2,6.3,1,0.3,2.8,51.2,57.4,72.9
6,Stephen Curry,698,34.3,23.5,8.1,17.1,47.6,3.6,8.2,43.5,3.7,4,90.5,0.7,3.8,4.5,6.6,1.7,0.2,3.1,58.1,62.3,103.1
7,Russell Westbrook,831,34.5,23,8.1,18.6,43.5,1.1,3.7,30.7,5.7,7.1,80,1.7,5.4,7,8.4,1.8,0.3,4.1,46.5,52.9,97.5
8,Kyrie Irving,519,33.8,22.4,8.2,17.7,46.5,2.1,5.4,38.8,3.8,4.4,87.7,0.8,2.9,3.7,5.7,1.3,0.4,2.6,52.4,57.1,60
9,Blake Griffin,605,35,21.8,8.2,16.4,50.2,0.6,1.8,34.2,4.8,6.9,69.3,2.2,6.8,9,4.5,0.9,0.5,2.6,52.1,56.3,75.4
10,DeMarcus Cousins,565,32,21.2,7.6,16.5,46.1,0.6,1.8,33.2,5.5,7.4,73.7,2.8,8.1,10.9,3.2,1.4,1.2,3.5,47.9,53.9,44.1
11,Bradley Beal,497,34.4,20,7.4,16.3,45.1,2.2,5.8,38.2,3.1,3.8,79.7,0.8,3.1,4,3.8,1.1,0.4,2.2,51.9,55.5,37.4
12,Kemba Walker,615,34.1,19.9,6.9,16.5,41.8,2.2,6,36,4,4.8,83.7,0.6,3.3,3.9,5.5,1.3,0.4,2.2,48.3,53.6,50.2
13,Paul George,605,33.8,19.9,6.7,15.5,43.3,2.4,6.3,37.8,4,4.8,84.4,0.9,5.5,6.4,3.3,1.8,0.4,2.6,51,56.3,65.5
14,DeMar DeRozan,763,34.1,19.9,7.1,15.7,45.2,0.4,1.5,28.2,5.2,6.3,82.7,0.8,3.5,4.3,3.4,1,0.3,2,46.6,53.7,61
15,Andrew Wiggins,411,35.9,19.6,7.2,16.4,44.2,1.1,3.3,33.4,4,5.4,73.5,1.3,3,4.3,2.2,1,0.6,2,47.5,52.1,14.3
16,LaMarcus Aldridge,961,34.5,19.6,7.9,16.1,49.2,0.1,0.5,28.2,3.6,4.4,81,2.7,5.6,8.4,2,0.7,1.1,1.6,49.6,54.1,107.9
17,Klay Thompson,615,33.1,19.5,7.3,16,45.9,2.9,7,41.9,1.9,2.3,84.8,0.4,3,3.5,2.3,0.9,0.5,1.7,55.1,57.5,46.8
18,Giannis Antetokounmpo,476,32.7,19.1,6.9,13.3,52.3,0.5,1.8,27.8,4.7,6.4,73.7,1.6,6.8,8.4,4.2,1.2,1.4,2.7,54.1,59.3,55.6
19,John Wall,573,35.9,19,6.9,15.9,43.3,0.9,2.9,32.4,4.3,5.5,78.1,0.6,3.8,4.3,9.2,1.7,0.7,3.8,46.2,51.9,44.3
20,Derrick Rose,553,33,18.8,7.3,16.2,45.4,0.8,2.5,30.4,3.4,4.1,82.5,0.9,2.6,3.5,5.6,0.8,0.3,2.7,47.8,52.4,37.7
21,Isaiah Thomas,492,29.3,18.5,6,13.7,43.7,1.9,5.3,36,4.6,5.3,87.4,0.5,2,2.5,5.1,0.9,0.1,2.4,50.8,57.8,45.6
22,Chris Paul,961,35,18.5,6.5,13.8,46.9,1.3,3.6,37.1,4.2,4.9,86.8,0.7,3.8,4.5,9.6,2.2,0.1,2.4,51.8,58,172.8
23,Kevin Love,668,32,18.3,6,13.6,44.2,1.6,4.5,36.9,4.6,5.6,82.8,2.9,8.4,11.3,2.3,0.7,0.5,2,50.3,57,79.5
24,CJ McCollum,423,30.2,17.9,6.9,15.1,45.3,2,5,39.9,2.2,2.6,83.7,0.6,2.6,3.2,2.9,0.9,0.3,1.7,51.9,54.9,27.9
25,Kawhi Leonard,476,30.9,17.8,6.5,13.1,49.3,1.4,3.6,38.1,3.5,4.2,84.8,1.3,5.1,6.4,2.5,1.8,0.7,1.5,54.6,59.7,66.8
26,Rudy Gay,890,33.9,17.5,6.6,14.6,45.6,1,3,34.7,3.2,4,79.6,1.4,4.5,5.9,2.2,1.2,0.8,2.3,49.1,53.6,55.6
27,Victor Oladipo,402,33.2,17.5,6.4,14.6,44.3,1.5,4.4,35.2,3.1,3.9,79.3,0.6,4,4.6,4,1.7,0.5,2.6,49.5,53.8,24.2
28,Dwight Howard,"1,055",34.3,17.3,6.2,10.7,58.4,0,0.1,9.5,4.8,8.4,56.6,3.5,9.1,12.6,1.5,0.9,2,2.9,58.4,59.9,130.1
29,Brook Lopez,728,30.9,17.2,6.6,13.3,49.7,0.6,1.8,34.4,3.4,4.3,79.2,2.2,4.3,6.5,1.5,0.6,1.7,1.9,52,56.7,60.6
30,Vince Carter,"1,489",30.6,17.1,6.2,14.2,43.7,1.5,4,37.3,3.2,4.1,79.8,1.1,3.3,4.4,3.1,1,0.6,1.7,49,53.6,125.5
31,Pau Gasol,"1,226",33.4,17,6.5,12.8,50.7,0.1,0.4,36.8,3.9,5.1,75.3,2.5,6.7,9.2,3.2,0.5,1.6,2.2,51.3,56.5,144.1
32,Jimmy Butler,531,33,16.7,5.5,12.1,45.4,0.9,2.7,33.9,4.9,5.8,83.4,1.5,3.5,4.9,3.5,1.6,0.5,1.5,49.1,57.1,67.6
33,Eric Gordon,638,33,16.6,5.7,13.3,42.6,2.3,6.2,37.2,3,3.7,81.3,0.4,2.1,2.5,2.9,0.9,0.3,2,51.4,55.8,33.2
34,Danilo Gallinari,560,31,15.9,4.8,11.3,42.5,1.9,5,37.7,4.4,5.1,87.2,0.8,4.1,4.9,2,0.8,0.4,1.3,51,58.9,52
35,Nikola Vucevic,547,30.1,15.7,6.9,13.8,50.1,0.3,1.1,32.8,1.6,2.2,74.4,2.7,7.5,10.2,2.5,0.9,0.9,1.7,51.4,53.5,42.9
36,Khris Middleton,465,31.7,15.7,5.7,12.7,45.2,1.7,4.3,38.8,2.6,3,87,0.6,3.9,4.5,3.2,1.3,0.2,1.9,51.8,56.2,31.9
