Rk,Player,From,To,Lg,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
,,,,,,,,,,,,,,,,
1,Larry Foust,1951,1962,NBA,817,26.8,13.7,9.8,1.7,,,0.405,,0.741,74.3,0.163
2,Red Kerr,1955,1966,NBA,905,30.7,13.8,11.2,2.2,,,0.418,,0.723,61.8,0.107
3,Larry Costello,1955,1968,NBA,706,30,12.2,3.8,4.6,,,0.438,,0.841,62.7,0.142
4,Kenny Sears,1956,1964,NBA,529,28.2,13.9,7.8,1.6,,,0.455,,0.826,55.8,0.179
5,Rudy LaRusso,1960,1969,NBA,736,33.3,15.6,9.4,2.1,,,0.431,,0.767,61.4,0.12
6,Johnny Green,1960,1973,NBA,1057,23.3,11.6,8.6,1.4,,,0.493,,0.553,58,0.113
7,Dick Barnett,1960,1974,NBA,971,29.8,15.8,2.9,2.8,0,0,0.456,,0.761,68.7,0.114
8,Bob Boozer,1961,1971,NBA,874,29.2,14.8,8.1,1.4,,,0.462,,0.761,64.2,0.121
9,Terry Dischinger,1963,1973,NBA,652,27.4,13.8,5.6,1.8,,,0.506,,0.758,56.3,0.152
10,Bill Bridges,1963,1975,NBA,926,33.3,11.9,11.9,2.8,0.1,0,0.442,,0.693,59.9,0.093
11,Paul Silas,1965,1980,NBA,1254,27.9,9.4,9.9,2.1,0.3,0.1,0.432,,0.673,79.9,0.11
12,Jeff Mullins,1965,1976,NBA,804,30.6,16.2,4.3,3.8,0.2,0,0.463,,0.814,62.8,0.123
13,Larry Jones,1965,1974,TOT,551,34.4,19.1,4.9,3.7,0.2,0,0.453,0.277,0.793,56.4,0.143
14,Happy Hairston,1965,1975,NBA,776,31.4,14.8,10.3,1.6,0.1,0,0.478,,0.741,70,0.138
15,Dick Van Arsdale,1966,1977,NBA,921,34.5,16.4,4.1,3.3,0.3,0,0.464,,0.79,75.2,0.114
16,Dick Snyder,1967,1979,NBA,964,26.6,12.2,2.8,2.9,0.3,0.2,0.488,,0.824,58.3,0.109
17,Cazzie Russell,1967,1978,NBA,817,27.2,15.1,3.8,2.2,0.3,0,0.464,,0.827,51.7,0.112
18,Jack Marin,1967,1977,NBA,849,29,14.8,5.2,2.1,0.2,0.1,0.465,,0.843,59.3,0.116
19,Bob Love,1967,1977,NBA,789,31.8,17.6,5.9,1.4,0.3,0.1,0.429,,0.805,50.4,0.096
20,Freddie Lewis,1967,1977,TOT,750,33.2,16,3.7,4,0.5,0,0.432,0.28,0.817,53.8,0.104
21,Lou Hudson,1967,1979,NBA,890,33.5,20.2,4.4,2.7,0.6,0.1,0.489,,0.797,81,0.131
22,Archie Clark,1967,1976,NBA,725,32.5,16.3,3.3,4.8,0.3,0,0.48,,0.769,64.7,0.132
23,Red Robbins,1968,1975,ABA,586,32,13.1,10.5,1.7,0.1,0.1,0.466,0.305,0.818,50.4,0.129
24,Jimmy Jones,1968,1977,TOT,686,34.2,16.6,4.3,4.5,0.4,0.1,0.509,0.25,0.785,78.8,0.161
25,Donnie Freeman,1968,1976,TOT,648,32.4,18.9,3.5,3.5,0.3,0.1,0.456,0.151,0.8,58,0.132
26,Byron Beck,1968,1977,TOT,747,25.7,11.5,7,1.3,0.2,0.1,0.505,0.295,0.811,55,0.137
27,Jim Eakins,1969,1978,TOT,767,24.8,10.8,7.3,1.8,0.3,0.6,0.504,0,0.788,57.5,0.145
28,Ron Boone,1969,1981,TOT,1041,31.1,16.8,4.2,3.7,0.8,0.1,0.461,0.304,0.837,59.3,0.088
29,Steve Mix,1970,1983,TOT,788,23.9,10.6,5.3,1.8,1.1,0.2,0.499,0.286,0.803,57.6,0.147
30,Bob Dandridge,1970,1982,NBA,839,35.2,18.5,6.8,3.4,0.8,0.4,0.484,0.167,0.78,80.3,0.131
31,Mack Calvin,1970,1981,TOT,755,28.6,16.1,2.5,4.8,0.6,0,0.447,0.245,0.863,60.4,0.134
32,Rudy Tomjanovich,1971,1981,NBA,768,33.5,17.4,8.1,2,0.5,0.2,0.501,0.262,0.784,70.4,0.131
33,Billy Paultz,1971,1985,TOT,1124,27,11.7,8,2,0.4,1.3,0.497,0,0.69,70.4,0.111
34,Sam Lacey,1971,1983,NBA,1002,31.8,10.3,9.7,3.7,1,1.2,0.441,0.188,0.738,50.9,0.077
35,Randy Smith,1972,1983,NBA,976,32.2,16.7,3.7,4.6,1.4,0.1,0.47,0.155,0.781,60.1,0.092
36,Dave Robisch,1972,1984,TOT,930,24.5,11.4,6.6,1.8,0.4,0.4,0.464,0,0.798,64.2,0.135
37,Clifford Ray,1972,1981,NBA,784,25.4,7.4,8.9,2.2,0.6,0.8,0.524,0,0.588,56.7,0.136
38,Tom Owens,1972,1983,TOT,877,23.8,11.3,6.8,1.7,0.4,0.5,0.513,0.217,0.743,61.5,0.142
39,Mike Newlin,1972,1982,NBA,837,29.4,14.9,3,4,0.8,0.1,0.466,0.302,0.87,50.4,0.098
40,Fred Brown,1972,1984,NBA,963,25.4,14.6,2.7,3.3,1.2,0.2,0.478,0.373,0.858,63.2,0.124
41,James Silas,1973,1982,TOT,685,29.7,16.1,3,3.8,0.9,0.2,0.495,0,0.855,60.3,0.142
42,Don Buse,1973,1985,TOT,966,27.1,7.1,2.7,4.6,1.9,0.2,0.44,0.33,0.779,57.1,0.105
43,Swen Nater,1974,1984,TOT,722,28.7,12.4,11.6,1.7,0.5,0.6,0.535,0.1,0.748,58.5,0.135
