year,name,games,points,total_rebounds,assists,steals,blocks,field_goal,3_point_field_goal,free_throw,win_shares,win_shares_per_48_mins
1995,Kareem Abdul-Jabbar,1560,24.6,11.2,3.6,0.9,2.6,0.559,0.056,0.721,273.4,0.228
2018,Ray Allen,1300,18.9,4.1,3.4,1.1,0.2,0.452,0.4,0.894,145.1,0.15
1991,Tiny Archibald,876,18.8,2.3,7.4,1.1,0.1,0.467,0.224,0.81,83.4,0.128
1978,Paul Arizin,713,22.8,8.6,2.3,,,0.421,,0.81,108.8,0.183
2006,Charles Barkley,1073,22.1,11.7,3.9,1.5,0.8,0.541,0.266,0.735,177.2,0.216
1981,Thomas Barlow,,,,,,,,,,,
1987,Rick Barry,1020,24.8,6.7,4.9,2,0.5,0.456,0.297,0.893,128.9,0.162
1977,Elgin Baylor,846,27.4,13.5,4.3,,,0.431,,0.78,104.2,0.148
2016,Zelmo Beaty,889,17.1,10.9,1.5,0.7,0.8,0.494,0.154,0.771,106,0.171
1973,John Beckman,,,,,,,,,,,
1993,Walt Bellamy,1043,20.1,13.7,2.4,0.7,0.6,0.516,,0.632,130,0.16
1992,Sergei Belov,,,,,,,,,,,
1990,Dave Bing,901,20.3,3.8,6,1.3,0.2,0.441,,0.775,68.8,0.101
1998,Larry Bird,897,24.3,10,6.3,1.7,0.8,0.496,0.376,0.886,145.8,0.203
1994,Carol Blazejowski,,,,,,,,,,,
1961,Bernard Borgmann,,,,,,,,,,,
1983,Bill Bradley,742,12.4,3.2,3.4,0.7,0.2,0.448,,0.84,38.8,0.082
2019,Carl Braun,788,13.5,3.4,3.7,,,0.383,,0.804,64.3,0.119
1975,Joseph Brennan,,,,,,,,,,,
2013,Roger Brown,605,17.4,6.2,3.8,0.7,0.6,0.469,0.321,0.791,65.2,0.146
1985,Al Cervi,202,7.9,1.8,3.2,,,0.359,,0.839,21.9,0.308
1979,Wilt Chamberlain,1045,30.1,22.9,4.4,,,0.54,,0.511,247.3,0.248
2018,Maurice Cheeks,1101,11.1,2.8,6.7,2.1,0.3,0.523,0.255,0.793,103.5,0.143
2017,Zack Clayton,,,,,,,,,,,
2019,"Charles ""Chuck"" Cooper",409,6.7,5.9,1.8,,,0.339,,0.743,11.6,0.05
2010,Cynthia Cooper-Dyke,,,,,,,,,,,
1996,Kresimir Cosic,,,,,,,,,,,
1971,Bob Cousy,924,18.4,5.2,7.5,,,0.375,,0.803,91.1,0.139
1991,Dave Cowens,766,17.6,13.6,3.8,1.1,0.9,0.46,0.071,0.783,86.3,0.14
1997,Joan Crawford,,,,,,,,,,,
1986,Billy Cunningham,770,21.2,10.4,4.3,1.8,0.5,0.452,0.263,0.73,78.6,0.141
1997,Denise Curry,,,,,,,,,,,
2004,Drazen Dalipagic,,,,,,,,,,,
2015,Louie Dampier,960,15.9,2.6,4.9,0.8,0.3,0.444,0.358,0.82,74.1,0.11
2012,Mel Daniels,639,18.4,14.9,1.8,0.6,1.5,0.468,0.088,0.657,64.8,0.138
2008,Adrian Dantley,955,24.3,5.7,3,1,0.2,0.54,0.171,0.818,134.2,0.189
1970,Bob Davies,462,14.3,2.9,4.9,,,0.378,,0.759,49.7,0.148
1961,Forrest DeBernardi,,,,,,,,,,,
1983,Dave DeBusschere,875,16.1,11,2.9,0.9,0.5,0.432,,0.699,60.8,0.093
1969,Dutch Dehnert,,,,,,,,,,,
2019,Vlade Divac,1134,11.8,8.2,3.1,1.1,1.4,0.495,0.235,0.692,96.4,0.137
1995,Anne Donovan,,,,,,,,,,,
2004,Clyde Drexler,1086,20.4,6.1,5.6,2,0.7,0.472,0.318,0.788,135.6,0.173
2006,Joe Dumars,1018,16.1,2.2,4.5,0.9,0.1,0.46,0.382,0.843,86.2,0.118
2011,Teresa Edwards,,,,,,,,,,,
1972,Paul Endacott,,,,,,,,,,,
1997,Alex English,1193,21.5,5.5,3.6,0.9,0.7,0.507,0.217,0.832,100.7,0.127
1993,Julius Erving,1243,24.2,8.5,4.2,2,1.7,0.506,0.298,0.777,181.1,0.192
2008,Patrick Ewing,1183,21,9.8,1.9,1,2.4,0.504,0.152,0.74,126.4,0.15
1964,Harold Foster,,,,,,,,,,,
1987,Walt Frazier,825,18.9,5.9,6.1,1.9,0.2,0.49,0,0.786,113.5,0.176
1972,Max Friedman,,,,,,,,,,,
1978,Joe Fulks,489,16.4,5.3,1.2,,,0.302,,0.766,29.2,-0.045
1977,Lauren Gale,,,,,,,,,,,
2017,Nick Galis,,,,,,,,,,,
1991,Harry Gallatin,682,13,11.9,1.8,,,0.398,,0.773,78.4,0.182
1989,Pop Gates,,,,,,,,,,,
1996,George Gervin,1060,25.1,5.3,2.6,1.2,1,0.504,0.271,0.841,116.3,0.157
2011,Artis Gilmore,1329,18.8,12.3,2.3,0.6,2.4,0.582,0.15,0.698,189.7,0.193
1976,Tom Gola,698,11.3,8,4.2,,,0.431,,0.76,53.2,0.113
1996,Gail Goodrich,1031,18.6,3.2,4.7,1.3,0.2,0.456,,0.807,76.3,0.109
1982,Hal Greer,1122,19.2,5,4,,,0.452,,0.801,102.7,0.124
1963,Robert Gruenig,,,,,,,,,,,
2013,Richie Guerin,848,17.3,5,5,,,0.416,,0.78,69.2,0.121
1978,Cliff Hagan,839,17.7,6.6,3.2,,,0.454,0,0.799,85.3,0.17
1960,Victor Hanson,,,,,,,,,,,
1992,Lusia Harris-Stewart,,,,,,,,,,,
1984,John Havlicek,1270,20.8,6.3,4.8,1.2,0.3,0.439,,0.815,131.7,0.136
1992,Connie Hawkins,616,18.7,8.8,4.1,1.2,0.8,0.479,0.161,0.779,76.7,0.166
1990,Elvin Hayes,1303,21,12.5,1.8,1,2,0.452,0.147,0.67,120.8,0.116
1998,Marques Haynes,,,,,,,,,,,
2015,Spencer Haywood,844,20.3,10.3,1.8,0.6,1.1,0.469,0.053,0.796,78.5,0.128
1986,Tom Heinsohn,654,18.6,8.8,2,,,0.405,,0.79,60,0.15
2018,Grant Hill,1026,16.7,6,4.1,1.2,0.6,0.483,0.314,0.769,99.9,0.138
1964,Nat Holman,,,,,,,,,,,
1987,Bob Houbregs,281,9.3,5.5,1.8,,,0.404,,0.721,14.3,0.102
1997,Bailey Howell,950,18.7,9.9,2,,,0.48,,0.762,114.8,0.18
1959,Charles Hyatt,,,,,,,,,,,
2015,John Isaacs,,,,,,,,,,,
